Date,Close
1/2/2024,4742.830078
1/3/2024,4704.810059
1/4/2024,4688.680176
1/5/2024,4697.240234
1/8/2024,4763.540039
1/9/2024,4756.5
1/10/2024,4783.450195
1/11/2024,4780.240234
1/12/2024,4783.830078
1/16/2024,4765.97998
1/17/2024,4739.209961
1/18/2024,4780.939941
1/19/2024,4839.810059
1/22/2024,4850.430176
1/23/2024,4864.600098
1/24/2024,4868.549805
1/25/2024,4894.160156
1/26/2024,4890.970215
1/29/2024,4927.930176
1/30/2024,4924.970215
1/31/2024,4845.649902
2/1/2024,4906.189941
2/2/2024,4958.609863
2/5/2024,4942.810059
2/6/2024,4954.22998
2/7/2024,4995.060059
2/8/2024,4997.910156
2/9/2024,5026.609863
2/12/2024,5021.839844
2/13/2024,4953.169922
2/14/2024,5000.620117
2/15/2024,5029.72998
2/16/2024,5005.569824
2/20/2024,4975.509766
2/21/2024,4981.799805
2/22/2024,5087.029785
2/23/2024,5088.799805
2/26/2024,5069.529785
2/27/2024,5078.180176
2/28/2024,5069.759766
2/29/2024,5096.27002
3/1/2024,5137.080078
3/4/2024,5130.950195
3/5/2024,5078.649902
3/6/2024,5104.759766
3/7/2024,5157.359863
3/8/2024,5123.689941
3/11/2024,5117.939941
3/12/2024,5175.27002
3/13/2024,5165.310059
3/14/2024,5150.47998
3/15/2024,5117.089844
3/18/2024,5149.419922
3/19/2024,5178.509766
3/20/2024,5224.620117
3/21/2024,5241.529785
3/22/2024,5234.180176
3/25/2024,5218.189941
3/26/2024,5203.580078
3/27/2024,5248.490234
3/28/2024,5254.350098
4/1/2024,5243.77002
4/2/2024,5205.810059
4/3/2024,5211.490234
4/4/2024,5147.209961
4/5/2024,5204.339844
4/8/2024,5202.390137
4/9/2024,5209.910156
4/10/2024,5160.640137
4/11/2024,5199.060059
4/12/2024,5123.410156
4/15/2024,5061.819824
4/16/2024,5051.410156
4/17/2024,5022.209961
4/18/2024,5011.120117
4/19/2024,4967.22998
4/22/2024,5010.600098
4/23/2024,5070.549805
4/24/2024,5071.629883
4/25/2024,5048.419922
4/26/2024,5099.959961
4/29/2024,5116.169922
4/30/2024,5035.689941
5/1/2024,5018.390137
5/2/2024,5064.200195
5/3/2024,5127.790039
5/6/2024,5180.740234
5/7/2024,5187.700195
5/8/2024,5187.669922
5/9/2024,5214.080078
5/10/2024,5222.680176
5/13/2024,5221.419922
5/14/2024,5246.680176
5/15/2024,5308.149902
5/16/2024,5297.100098
5/17/2024,5303.27002
5/20/2024,5308.129883
5/21/2024,5321.410156
5/22/2024,5307.009766
5/23/2024,5267.839844
5/24/2024,5304.720215
5/28/2024,5306.040039
5/29/2024,5266.950195
5/30/2024,5235.47998
5/31/2024,5277.509766
6/3/2024,5283.399902
6/4/2024,5291.339844
6/5/2024,5354.029785
6/6/2024,5352.959961
6/7/2024,5346.990234
6/10/2024,5360.790039
6/11/2024,5375.319824
6/12/2024,5421.029785
6/13/2024,5433.740234
